timestamp: CODE VALUEBYTE(S)
1764233964.336: 80 04 72 
1764233964.336: 80 03 00 
1764233964.336: 80 01 7C 
1764233964.336: 80 FF C5 
1764233964.336: 80 FE 97 
1764233964.336: 80 FE 87 
1764233964.336: 80 FF 2E 
1764233964.336: 80 FF 9A 
1764233964.336: 80 FF 72 
1764233964.336: 80 FF 4B 
1764233964.336: 80 FF B9 
1764233964.336: 80 00 6F 
1764233964.336: 80 00 93 
1764233964.336: 80 FF DD 
1764233964.336: 80 FE FD 
1764233964.336: 80 FE BA 
1764233964.336: 80 FF 03 
1764233964.336: 80 FF 1D 
1764233964.336: 80 FE AE 
1764233964.336: 80 FE 3C 
1764233964.336: 80 FE 6C 
1764233964.336: 80 FF 10 
1764233964.336: 80 FF 57 
1764233964.336: 80 FE DA 
1764233964.336: 80 FE 31 
1764233964.336: 80 FE 2B 
1764233964.368: 80 FE C6 
1764233964.368: 80 FF 35 
1764233964.368: 80 FE F7 
1764233964.368: 80 FE 7C 
1764233964.368: 80 FE 8C 
1764233964.368: 80 FF 2F 
1764233964.368: 80 FF A3 
1764233964.368: 80 FF 59 
1764233964.368: 80 FE B8 
1764233964.368: 80 FE 92 
1764233964.368: 80 FF 13 
1764233964.368: 80 FF 8F 
1764233964.368: 80 FF 6D 
1764233964.368: 80 FE F8 
1764233964.368: 80 FE F2 
1764233964.368: 80 FF 83 
1764233964.368: 80 00 03 
1764233964.368: 80 FF D1 
1764233964.368: 80 FF 35 
1764233964.368: 80 FF 02 
1764233964.368: 80 FF 7F 
1764233964.368: 80 00 0E 
1764233964.368: 80 00 01 
1764233964.368: 80 FF 83 
1764233964.368: 80 FF 61 
1764233964.368: 80 FF EE 
1764233964.368: 80 00 90 
1764233964.368: 80 00 8C 
1764233964.368: 80 FF FE 
1764233964.368: 80 FF BA 
1764233964.368: 80 00 2F 
1764233964.368: 80 00 DB 
1764233964.368: 80 00 F9 
1764233964.368: 80 00 89 
1764233964.368: 80 00 4B 
1764233964.368: 80 00 B0 
1764233964.368: 80 01 3E 
1764233964.368: 80 01 33 
1764233964.368: 80 00 8E 
1764233964.368: 80 00 18 
1764233964.368: 80 00 58 
1764233964.368: 80 00 E7 
1764233964.368: 80 00 FE 
1764233964.368: 80 00 84 
1764233964.368: 80 00 30 
1764233964.368: 80 00 88 
1764233964.368: 80 01 29 
1764233964.368: 80 01 44 
1764233964.368: 80 00 B5 
1764233964.368: 80 00 38 
1764233964.368: 80 00 71 
1764233964.368: 80 01 18 
1764233964.368: 80 01 5E 
1764233964.368: 80 01 00 
1764233964.368: 80 00 A4 
1764233964.368: 80 00 F0 
1764233964.368: 80 01 A9 
1764233964.368: 80 01 FC 
1764233964.368: 80 01 97 
1764233964.368: 80 01 1A 
1764233964.368: 80 01 41 
1764233964.368: 80 01 EF 
1764233964.368: 80 02 5A 
1764233964.368: 80 02 16 
1764233964.399: 80 01 AA 
1764233964.399: 80 01 D4 
1764233964.399: 80 02 86 
1764233964.524: 80 02 F2 
1764233964.524: 80 02 9D 
1764233964.524: 80 02 02 
1764233964.524: 80 01 F4 
1764233964.524: 80 02 8B 
1764233964.524: 80 03 0B 
1764233964.524: 80 02 E5 
1764233964.524: 80 02 76 
1764233964.524: 80 02 80 
1764233964.524: 80 03 1E 
1764233964.524: 80 03 99 
1764233964.524: 80 03 5B 
1764233964.524: 80 02 C2 
1764233964.524: 80 02 A5 
1764233964.524: 80 03 3A 
1764233964.524: 80 03 CC 
1764233964.524: 80 03 B0 
1764233964.524: 80 03 26 
1764233964.524: 80 03 04 
1764233964.524: 80 03 90 
1764233964.524: 80 04 1E 
1764233964.524: 80 03 F0 
1764233964.524: 80 03 38 
